	PolII sum gb	PolII sum promoter
ENSMUSG00000099349	3.3254520333289865	2.735649724080784
ENSMUSG00000046546	3.660691915182375	4.049066768791467
ENSMUSG00000108035	3.250244297092538	2.972485639596599
ENSMUSG00000105615	3.0080156098711446	2.574370078249169
ENSMUSG00000007805	4.030531853934372	3.0506478042819665
ENSMUSG00000100936	2.6219793645518816	2.7849319054656565
ENSMUSG00000044681	4.584455613825645	2.309816051094584
ENSMUSG00000058886	4.836666478269148	4.173482498047837
ENSMUSG00000097307	4.141600887858089	2.7126241706456065
ENSMUSG00000015335	3.745359541235632	4.2442672222393085
ENSMUSG00000055675	4.359717884507681	2.9735734697720417
ENSMUSG00000102906	2.9969528931132023	1.793638843942104
ENSMUSG00000069678	3.5486240089239787	3.957443178613035
ENSMUSG00000050776	2.596270427329121	2.4652132650169367
ENSMUSG00000112593	4.3396647265651085	2.9778928709549617
ENSMUSG00000104966	2.8133458766709976	2.8361516720529085
ENSMUSG00000073949	2.770026313061753	2.532899544086303
ENSMUSG00000114621	3.4055967658489075	3.669960250775902
ENSMUSG00000046605	4.91846476358823	4.252894274866065
ENSMUSG00000108329	2.6340252747254524	2.3464188309326266
ENSMUSG00000024479	3.714268551769707	3.1008711887016305
ENSMUSG00000110993	3.566732028986219	3.897360202226817
ENSMUSG00000033781	3.8135451850383353	3.639053971660683
ENSMUSG00000054618	3.678007304430276	2.9426751131309703
ENSMUSG00000114249	2.610234956694383	2.3335379529723466
ENSMUSG00000113170	3.6883115315315855	4.279479865170826
ENSMUSG00000097207	4.856242578854428	4.426019758876151
ENSMUSG00000017386	4.553088114908388	4.358789261339273
ENSMUSG00000026926	4.53556077685291	4.2902456939901
ENSMUSG00000020151	4.702224255030911	3.2192109281939465
ENSMUSG00000079173	4.478374074464464	2.3675509680177678
ENSMUSG00000113757	3.903792974786133	2.523279414206857
ENSMUSG00000022174	4.475762685549508	3.994559386515482
ENSMUSG00000006724	3.679343391766052	3.9314927891381535
ENSMUSG00000026358	2.8858199651008003	2.3112790554368985
ENSMUSG00000113004	2.5889708715498903	2.623005189673346
ENSMUSG00000016833	4.0079172534498655	4.249510610906955
ENSMUSG00000108042	3.49704581322532	3.5108906996766907
ENSMUSG00000052955	4.529984846517682	2.6654968754459287
ENSMUSG00000070383	2.9338358995239693	2.396859298600321
ENSMUSG00000022378	5.286761760813056	3.732398049130003
ENSMUSG00000035248	4.814208072247553	4.079707629615621
ENSMUSG00000069818	3.046680080563267	2.567793060287666
ENSMUSG00000000003	3.305869204018273	2.2274325566976536
ENSMUSG00000036951	3.308500385085033	2.5412200953528448
ENSMUSG00000074248	3.2075984663819224	2.3205793256450624
ENSMUSG00000027744	3.661596272864569	3.2585830124741757
ENSMUSG00000063120	2.418612258579891	2.4909627068653832
ENSMUSG00000057777	3.0699627055981864	3.0436869276945844
ENSMUSG00000111719	2.894194731335028	2.532464752785096
ENSMUSG00000001018	4.351711938416235	4.357769732919334
ENSMUSG00000031785	4.295485730842448	2.5231865509637816
ENSMUSG00000042541	4.504063789725535	4.22980381322791
ENSMUSG00000044317	4.029510124116729	3.3104837244246155
ENSMUSG00000061510	2.674881340011409	3.475566112177501
ENSMUSG00000099447	3.851811568757388	2.7760114300783933
ENSMUSG00000079563	3.324913199138791	2.409059149266409
ENSMUSG00000093923	3.210701001449708	1.931366154012602
ENSMUSG00000070717	3.1167978445579307	3.7206071540199295
ENSMUSG00000072188	3.1598838761202	2.7270934480900864
ENSMUSG00000085776	4.538452660696181	4.438958249574876
ENSMUSG00000090210	3.929278395942047	3.4258672040705656
ENSMUSG00000034848	4.465739163840769	4.179122646385305
ENSMUSG00000103391	2.4401231795714478	2.800255051129714
ENSMUSG00000073535	3.386182567417189	2.658067708114871
ENSMUSG00000026199	4.041572551105762	4.204918169605774
ENSMUSG00000030468	3.268468760545594	2.666989146546701
ENSMUSG00000101650	3.138649889652281	2.824000584515126
ENSMUSG00000000365	5.412321080388607	4.238464297173534
ENSMUSG00000100232	2.111883370724614	1.6338917704915326
ENSMUSG00000025020	4.557805451359433	2.8935250449657604
ENSMUSG00000104213	3.1348292286262742	2.3586130610210843
ENSMUSG00000091297	3.507651714302308	2.582462987613896
ENSMUSG00000049950	3.998836125047289	4.540160062732721
ENSMUSG00000025968	4.812599437613317	4.494410640911618
ENSMUSG00000015852	3.6204907054603854	2.54481893110226
ENSMUSG00000086675	2.702368202671749	2.2574272832192297
ENSMUSG00000087388	3.185701716248873	2.276633343419832
ENSMUSG00000111533	3.9607655981199934	3.2425314900958435
ENSMUSG00000022857	4.409269063499129	2.615142052551239
ENSMUSG00000037826	4.129205282626798	3.7499709154637126
ENSMUSG00000107053	2.2449192202610853	2.3365704614890705
ENSMUSG00000097491	3.7175243269412688	3.4296236409016565
ENSMUSG00000117797	3.3906113252387136	2.82997260721614
ENSMUSG00000102080	3.323283734088704	2.6117321566230225
ENSMUSG00000063683	3.43726316106059	2.4245402711269834
ENSMUSG00000112414	4.098670255612526	2.63412310693311
ENSMUSG00000042203	4.7221741606019005	3.6311253726492585
ENSMUSG00000087374	3.626555236934662	2.887664365106218
ENSMUSG00000111174	3.039270652708037	2.576807649559769
ENSMUSG00000029363	4.787015561268404	4.319024816772256
ENSMUSG00000040312	4.180859597075594	4.322724299189431
ENSMUSG00000117436	2.558684975624797	2.407593697852768
ENSMUSG00000055240	4.457462027160438	3.7453954470390416
ENSMUSG00000026459	3.160775560104405	3.1118310044448245
ENSMUSG00000098129	3.317272672985549	3.297583986119134
ENSMUSG00000110090	2.6615057008629472	2.3016541348108133
ENSMUSG00000021091	2.916244032695319	2.4028818511281016
ENSMUSG00000097253	3.501834454641196	4.128115893924705
ENSMUSG00000041216	4.553124168366045	2.4420154372955287
ENSMUSG00000026833	4.328310953658491	3.5360320887537338
ENSMUSG00000043357	2.701138946975057	2.561713815909552
ENSMUSG00000043986	3.9047451101897375	3.208752990642024
ENSMUSG00000055385	4.031379510321022	3.0973388841287126
ENSMUSG00000009566	4.711468375295803	3.97275330565148
ENSMUSG00000112174	2.876593642987494	2.532908456151423
ENSMUSG00000093559	3.2104288410509856	3.247627165088762
ENSMUSG00000107318	4.161024424292509	2.7222496322533907
ENSMUSG00000104448	3.978106986620964	3.6948528370220592
ENSMUSG00000114175	3.5773791903733927	3.1445534522997174
ENSMUSG00000026189	4.430809551181591	4.140037774205852
ENSMUSG00000099470	3.651425661946496	3.7203117622606143
ENSMUSG00000021932	4.87550922418899	3.712505754602878
ENSMUSG00000084917	3.484734865154296	3.358642221405639
ENSMUSG00000019888	5.107828172885182	2.515360684776692
ENSMUSG00000030780	4.291877745437716	3.5307237807024348
ENSMUSG00000024454	4.0704689901323725	3.5710011200602207
ENSMUSG00000060962	3.586997777693435	2.610787523268776
ENSMUSG00000026404	4.199643664775898	4.429987391924678
ENSMUSG00000094775	3.2699065883593503	2.319434693431064
ENSMUSG00000025351	4.314890611300595	3.33950775349217
ENSMUSG00000075168	2.779002356871361	2.2836901100164955
ENSMUSG00000103291	3.0774744972633816	2.7465540260690022
ENSMUSG00000104788	2.5084354432705047	2.4942614377327943
ENSMUSG00000041361	4.360693740282708	3.183867477152165
ENSMUSG00000003352	4.220260674754467	3.4199733621039594
ENSMUSG00000114960	2.341790190402325	2.415448028456351
ENSMUSG00000060509	3.6032833390590175	2.4778044895373434
ENSMUSG00000066273	3.032862294964936	2.538640037403199
ENSMUSG00000112489	4.091980169631463	2.7123482842154303
ENSMUSG00000104334	3.043877623143949	2.534027375921185
ENSMUSG00000025961	3.9939343178892823	2.5261453526347117
ENSMUSG00000039714	3.272227732423017	2.9452262580307917
ENSMUSG00000027465	4.599797950743465	4.098170877663652
ENSMUSG00000091472	4.3254315055226495	4.1992998067588285
ENSMUSG00000005980	3.7737216127954016	3.933918668439332
ENSMUSG00000027643	4.271106322304514	2.680550642914449
ENSMUSG00000108111	4.082304149586547	2.85920857162848
ENSMUSG00000002190	4.461155738093	3.348256172596638
ENSMUSG00000101775	1.9647709572027088	1.5582216158814572
ENSMUSG00000078504	3.147971935393929	2.575836491934025
ENSMUSG00000096718	4.382700683216205	4.202139433589483
ENSMUSG00000022821	4.133962351880591	2.790341705447097
ENSMUSG00000086877	4.143566430767929	4.306083176562285
ENSMUSG00000074305	5.281387176880742	4.331128890745716
ENSMUSG00000031919	3.586210227415232	3.4874532544750525
ENSMUSG00000040111	5.1717001319779055	2.9737700419958397
ENSMUSG00000050854	3.1403823245594022	3.7052988192284606
ENSMUSG00000066158	4.197798644932735	3.9623186571303055
ENSMUSG00000091575	3.3525053844824697	3.010348020426646
ENSMUSG00000100204	2.0474449165310764	2.602822593938985
ENSMUSG00000061119	4.6166991678366776	4.689990701770356
ENSMUSG00000085847	3.6566009127983023	3.2425585711632734
ENSMUSG00000039958	4.806101250974554	3.59479350746046
ENSMUSG00000073412	3.715143369179886	3.1221481339759567
ENSMUSG00000027406	4.857037437887333	4.130802553437134
ENSMUSG00000091165	4.521002018336908	3.7084648089682535
ENSMUSG00000097233	3.416534000613391	3.91122936353614
ENSMUSG00000042487	4.523017263127643	3.95169426449248
ENSMUSG00000030545	3.69416044089566	3.640663265926943
ENSMUSG00000031078	4.701596476602244	3.898430251081208
ENSMUSG00000021400	4.455942668114825	4.196778416542152
ENSMUSG00000024114	3.7169249624365888	4.187024100448553
ENSMUSG00000018893	4.043608766796679	2.721334030831869
ENSMUSG00000031373	3.899414278156551	2.988125486549098
ENSMUSG00000081166	2.9758779757635425	-2.0
ENSMUSG00000038696	5.209066190459989	3.832556171593168
ENSMUSG00000063844	3.2775664320896527	2.524205657253451
ENSMUSG00000043773	3.962761775673963	3.931211666805855
ENSMUSG00000069049	4.2503101948793605	3.714972062732372
ENSMUSG00000039133	3.2159220657185927	3.656470659889208
ENSMUSG00000105079	2.528950962790544	2.3343391305384324
ENSMUSG00000033902	4.542653251277418	4.114383548290278
ENSMUSG00000057359	5.086317111083727	4.20795196201429
ENSMUSG00000029671	4.109082441309687	2.9029028381347786
ENSMUSG00000079349	2.863537376369626	2.165357708788975
ENSMUSG00000022089	4.546153433636184	3.773709668968636
ENSMUSG00000040351	4.952525425608523	4.329088575983542
ENSMUSG00000026807	4.449139882721435	3.89726979670118
ENSMUSG00000001655	3.874610907864101	3.8537689664110175
ENSMUSG00000087254	2.3507247050342075	2.43692186580854
ENSMUSG00000105560	3.233074835004694	2.4613234130815407
ENSMUSG00000067724	4.267273443126344	3.411148684387539
ENSMUSG00000097750	4.320793435829114	4.5079399350586105
ENSMUSG00000019817	4.167253318371969	3.388593738603068
ENSMUSG00000026065	3.875296297860978	2.734228125604846
ENSMUSG00000104078	2.90991725619604	3.0843963271689305
ENSMUSG00000038485	4.462910362709665	3.8643290980705176
ENSMUSG00000029005	4.35252788613767	3.512742636146012
ENSMUSG00000041697	3.428702139085463	3.6605021496771335
ENSMUSG00000061847	3.426626190513403	2.434764186195066
ENSMUSG00000031872	3.9853936874295295	3.0592587622212664
ENSMUSG00000060802	3.757784594032301	4.211713974129387
ENSMUSG00000101028	3.9537906081487217	2.8550353273199702
ENSMUSG00000031549	4.026106795642335	2.5271292071749505
ENSMUSG00000069294	3.0106035173692667	2.4068908806144065
ENSMUSG00000079197	3.059436809106515	3.894456557856716
ENSMUSG00000021848	4.344265831698307	3.0926850951617246
ENSMUSG00000030385	4.083891829317149	2.6073427712874016
ENSMUSG00000108400	2.557014882954562	2.391265704139759
ENSMUSG00000021823	5.221302063220237	4.443717128899667
ENSMUSG00000020238	4.340865645179584	3.895571705549246
ENSMUSG00000042500	4.019028591510967	3.414023543707534
ENSMUSG00000049334	2.5380284291040227	2.6002848086543096
ENSMUSG00000029648	4.639884410191092	3.287313433892614
ENSMUSG00000031562	4.905607015619554	2.846957178335138
ENSMUSG00000101512	1.889851460743296	2.109941600728094
ENSMUSG00000110337	2.702872648306476	2.362909522024636
ENSMUSG00000073739	3.239592247595777	2.5513088700026043
ENSMUSG00000052949	4.59614570796025	4.133583612854193
ENSMUSG00000101740	1.3846156203956894	2.085591304201204
ENSMUSG00000079424	3.4128294430194974	2.0702113033564573
ENSMUSG00000095032	1.472465359860865	2.1308899525373644
ENSMUSG00000093945	2.864070432353244	2.609754439128856
ENSMUSG00000021506	3.392879189761795	2.627708172407607
